database,table,name,type,position,default_kind,default_expression,data_compressed_bytes,data_uncompressed_bytes,marks_bytes,comment,is_in_partition_key,is_in_sorting_key,is_in_primary_key,is_in_sampling_key,compression_codec,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision
opensource,events,created_at,DateTime,11,,,30553328089,31996884032,26556504,,1,1,1,0,,,,,,0.0
opensource,events,issue_id,UInt64,12,,,6101452782,63993768064,26556504,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,issue_number,UInt32,13,,,3027259335,31996884032,26556504,,0,0,0,0,,,32.0,2.0,0.0,
opensource,events,issue_title,String,14,,,20534349401,69497518646,26556504,,0,0,0,0,,,,,,
opensource,events,body,String,15,,,411909736551,2176134773087,26556504,,0,0,0,0,,,,,,
opensource,events,issue_labels.name,Array(String),16,,,2794173037,75783220405,53113008,,0,0,0,0,,,,,,
opensource,events,issue_labels.color,Array(String),17,,,1142851180,6383888252,26556504,,0,0,0,0,,,,,,
opensource,events,issue_labels.default,Array(UInt8),18,,,96513479,911984036,26556504,,0,0,0,0,,,,,,
opensource,events,issue_labels.description,Array(String),19,,,1173304257,18849486803,26556504,,0,0,0,0,,,,,,
opensource,events,issue_author_id,UInt64,20,,,3028217522,63993768064,26556504,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,issue_author_login,LowCardinality(String),21,,,4064472695,16622315413,53113008,,0,0,0,0,,,,,,
opensource,events,issue_author_type,"Enum8('Bot' = 1, 'Mannequin' = 2, 'Organization' = 3, 'User' = 4)",22,,,187736090,7999221008,26556504,,0,0,0,0,,,,,,
opensource,events,issue_author_association,"Enum8('COLLABORATOR' = 1, 'CONTRIBUTOR' = 2, 'MEMBER' = 3, 'NONE' = 4, 'OWNER' = 5, 'MANNEQUIN' = 6)",23,,,460942346,7999221008,26556504,,0,0,0,0,,,,,,
opensource,events,issue_assignee_id,UInt64,24,,,808658446,63993768064,26556504,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,issue_assignee_login,LowCardinality(String),25,,,696644660,14416902646,53113008,,0,0,0,0,,,,,,
opensource,events,issue_assignees.login,Array(LowCardinality(String)),26,,,1111115080,64669425522,79669512,,0,0,0,0,,,,,,
opensource,events,issue_assignees.id,Array(UInt64),27,,,355050312,1517977464,26556504,,0,0,0,0,,,,,,
opensource,events,issue_created_at,Nullable(DateTime),28,,,4818238217,39996105040,53113008,,0,0,0,0,,,,,,0.0
opensource,events,issue_updated_at,Nullable(DateTime),29,,,6123962124,39996105040,53113008,,0,0,0,0,,,,,,0.0
opensource,events,issue_comments,UInt16,30,,,846545621,15998442016,26556504,,0,0,0,0,,,16.0,2.0,0.0,
opensource,events,issue_closed_at,Nullable(DateTime),31,,,2801569260,39996105040,53113008,,0,0,0,0,,,,,,0.0
opensource,events,issue_comment_id,UInt64,32,,,2535852217,63993768064,26556504,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,issue_comment_created_at,Nullable(DateTime),33,,,1989609586,39996105040,53113008,,0,0,0,0,,,,,,0.0
opensource,events,issue_comment_updated_at,Nullable(DateTime),34,,,1989506291,39996105040,53113008,,0,0,0,0,,,,,,0.0
opensource,events,issue_comment_author_association,"Enum8('COLLABORATOR' = 1, 'CONTRIBUTOR' = 2, 'MEMBER' = 3, 'NONE' = 4, 'OWNER' = 5, 'MANNEQUIN' = 6)",35,,,135811994,7999221008,26556504,,0,0,0,0,,,,,,
opensource,events,issue_comment_author_id,UInt64,36,,,924725868,63993768064,26556504,,0,0,0,0,,,64.0,2.0,0.0,
opensource,events,issue_comment_author_login,LowCardinality(String),37,,,1211234439,14504016722,53113008,,0,0,0,0,,,,,,
opensource,events,issue_comment_author_type,"Enum8('Bot' = 1, 'Mannequin' = 2, 'Organization' = 3, 'User' = 4)",38,,,83716551,7999221008,26556504,,0,0,0,0,,,,,,
opensource,events,pull_commits,UInt16,39,,,410438823,15998442016,26556504,,0,0,0,0,,,16.0,2.0,0.0,
opensource,events,pull_additions,UInt16,40,,,968601602,15998442016,26556504,,0,0,0,0,,,16.0,2.0,0.0,
opensource,events,pull_deletions,UInt16,41,,,844174399,15998442016,26556504,,0,0,0,0,,,16.0,2.0,0.0,
