repo_id,repo_name,self_ref_ratio,repo_name_used,i_pr_rec_cnt,repo_created_at,category_label,project_age_years,external_ref_ratio
510607652,pocketbase/pocketbase,0.4802005012531328,pocketbase/pocketbase,2785,2022-07-05T06:06:21Z,Relational,1.486652977412731,0.5197994987468673
148087762,georgia-tech-db/eva,0.2941089182371271,georgia-tech-db/eva,2673,2018-09-10T02:26:03Z,Relational,5.30321697467488,0.705891081762873
396867188,ArcadeData/arcadedb,0.4248247208517268,ArcadeData/arcadedb,2632,2021-08-16T16:01:29Z,Key-value,2.3709787816563996,0.5751752791482732
396867188,ArcadeData/arcadedb,0.4248247208517268,ArcadeData/arcadedb,2632,2021-08-16T16:01:29Z,Document,2.3709787816563996,0.5751752791482732
396867188,ArcadeData/arcadedb,0.4248247208517268,ArcadeData/arcadedb,2632,2021-08-16T16:01:29Z,Time Series,2.3709787816563996,0.5751752791482732
396867188,ArcadeData/arcadedb,0.4248247208517268,ArcadeData/arcadedb,2632,2021-08-16T16:01:29Z,Graph,2.3709787816563996,0.5751752791482732
456549280,ydb-platform/ydb,0.5925279329608939,ydb-platform/ydb,2601,2022-02-07T14:52:36Z,Relational,1.891854893908282,0.4074720670391061
456549280,ydb-platform/ydb,0.5925279329608939,ydb-platform/ydb,2601,2022-02-07T14:52:36Z,Document,1.891854893908282,0.4074720670391061
34533675,apache/sedona,0.2421722113502935,apache/sedona,2488,2015-04-24T18:01:29Z,Spatial,8.684462696783026,0.7578277886497065
79317191,typesense/typesense,0.304253785147801,typesense/typesense,2471,2017-01-18T08:01:47Z,Search Engine,6.945927446954141,0.695746214852199
125824259,xtdb/xtdb,0.5727902946273831,xtdb/xtdb,2462,2018-03-19T08:19:27Z,Document,5.782340862422998,0.42720970537261693
87414843,hyrise/hyrise,0.5820224719101124,hyrise/hyrise,2443,2017-04-06T10:03:31Z,Relational,6.7323750855578375,0.41797752808988764
678214856,timeplus-io/proton,0.6019323671497585,timeplus-io/proton,2302,2023-08-14T03:11:43Z,Relational,0.37782340862423,0.3980676328502415
644742603,cloudberrydb/cloudberrydb,0.3189081225033289,cloudberrydb/cloudberrydb,2301,2023-05-24T06:58:16Z,Relational,0.6023271731690623,0.6810918774966711
644742603,cloudberrydb/cloudberrydb,0.3189081225033289,cloudberrydb/cloudberrydb,2301,2023-05-24T06:58:16Z,Object Oriented,0.6023271731690623,0.6810918774966711
47973088,gchq/Gaffer,0.4725124943207633,gchq/Gaffer,2271,2015-12-14T12:12:39Z,Graph,8.043805612594113,0.5274875056792367
305513242,fluree/db,0.531934306569343,fluree/db,2240,2020-10-19T21:06:38Z,Relational,3.1950718685831623,0.46806569343065696
305513242,fluree/db,0.531934306569343,fluree/db,2240,2020-10-19T21:06:38Z,Document,3.1950718685831623,0.46806569343065696
305513242,fluree/db,0.531934306569343,fluree/db,2240,2020-10-19T21:06:38Z,Graph,3.1950718685831623,0.46806569343065696
305513242,fluree/db,0.531934306569343,fluree/db,2240,2020-10-19T21:06:38Z,RDF,3.1950718685831623,0.46806569343065696
66783145,couchbase/couchbase-lite-core,0.8571428571428571,couchbase/couchbase-lite-core,2174,2016-08-28T18:07:47Z,Key-value,7.337440109514032,0.1428571428571429
66783145,couchbase/couchbase-lite-core,0.8571428571428571,couchbase/couchbase-lite-core,2174,2016-08-28T18:07:47Z,Document,7.337440109514032,0.1428571428571429
84458512,RedisGraph/RedisGraph,0.4087558633013178,RedisGraph/RedisGraph,2100,2017-03-09T15:37:25Z,Graph,6.809034907597536,0.5912441366986823
442441933,mabel-dev/opteryx,0.1519796450291672,mabel-dev/opteryx,1979,2021-12-28T11:27:22Z,Relational,2.004106776180698,0.8480203549708328
442441933,mabel-dev/opteryx,0.1519796450291672,mabel-dev/opteryx,1979,2021-12-28T11:27:22Z,Object Oriented,2.004106776180698,0.8480203549708328
7437073,apache/jena,0.2799558255107675,apache/jena,1961,2013-01-04T08:00:32Z,RDF,10.984257357973991,0.7200441744892325
13124802,influxdata/influxdb,0.4122085048010974,influxdata/influxdb,1788,2013-09-26T14:31:10Z,Wide column,10.258726899383984,0.5877914951989026
13124802,influxdata/influxdb,0.4122085048010974,influxdata/influxdb,1788,2013-09-26T14:31:10Z,Time Series,10.258726899383984,0.5877914951989026
507829396,openGemini/openGemini,0.4101694915254237,openGemini/openGemini,1753,2022-06-27T08:41:54Z,Relational,1.5085557837097878,0.5898305084745763
507829396,openGemini/openGemini,0.4101694915254237,openGemini/openGemini,1753,2022-06-27T08:41:54Z,Time Series,1.5085557837097878,0.5898305084745763
6650539,neo4j/neo4j,0.1864573110893032,neo4j/neo4j,1697,2012-11-12T08:46:15Z,Graph,11.129363449691992,0.8135426889106968
473235285,polarsignals/frostdb,0.763873775843308,polarsignals/frostdb,1678,2022-03-23T14:55:52Z,Wide column,1.7713894592744694,0.23612622415669204
