,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank,weighted_degree_centrality,weighted_pagerank,composite_centrality,node_type,weight,label,degree,repo_id,repo_name,in_lcc
R_14812739,0.00046061722708429296,0.26955602536997886,0.0003381769643740846,0.010834218748185688,9.309344162687473e-05,0.0009212344541685859,9.309344162687473e-05,0.1154389374219897,Repo,1,R_14812739,3,14812739,,True
R_42895929,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_42895929,1,42895929,,True
R_292834673,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,0.0001386138094375226,0.0015353907569476432,0.0001386138094375226,0.11216574318391878,Repo,1,R_292834673,1,292834673,,True
R_160689777,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_160689777,1,160689777,,True
R_511235342,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_511235342,1,511235342,,True
R_134862372,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,6.93144012434766e-05,0.0006141563027790573,6.93144012434766e-05,0.11141678805648611,Repo,1,R_134862372,1,134862372,,True
R_593279745,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,8.086430260915094e-05,0.0007676953784738216,8.086430260915094e-05,0.1115416139110582,Repo,1,R_593279745,1,593279745,,True
R_615125383,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,4.621459851212795e-05,0.00030707815138952864,4.621459851212795e-05,0.11116713634734186,Repo,1,R_615125383,1,615125383,,True
R_479291099,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_479291099,1,479291099,,True
R_580105330,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,5.7764499877802276e-05,0.00046061722708429296,5.7764499877802276e-05,0.11129196220191398,Repo,1,R_580105330,1,580105330,,True
R_581861282,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,4.621459851212795e-05,0.00030707815138952864,4.621459851212795e-05,0.11116713634734186,Repo,1,R_581861282,1,581861282,,True
R_32235223,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_32235223,1,32235223,,True
R_47219360,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,0.00010396410534049961,0.0010747735298633502,0.00010396410534049961,0.11179126562020245,Repo,1,R_47219360,1,47219360,,True
R_182849188,0.005988023952095809,0.30773315311836263,0.004854234092943258,0.0550247824436592,0.00165812067530088,0.0370029172424382,0.00165812067530088,0.1923428978709136,Repo,1,R_182849188,43,182849188,delta-io/delta,True
R_680991804,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,4.621459851212795e-05,0.00030707815138952864,4.621459851212795e-05,0.11116713634734186,Repo,1,R_680991804,1,680991804,,True
R_18106269,0.0006141563027790573,0.2745832794934746,0.00012500680066990886,0.012533629234842594,0.00011950367910642635,0.0013818516812528789,0.00011950367910642635,0.11884216587602965,Repo,1,R_18106269,4,18106269,,True
R_187523334,0.0006141563027790573,0.287693487973284,0.00015670992892482838,0.02107905895016319,5.656687558089018e-05,0.0006141563027790573,5.656687558089018e-05,0.12825008196794443,Repo,1,R_187523334,4,187523334,,True
R_163847389,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,5.7764499877802276e-05,0.00046061722708429296,5.7764499877802276e-05,0.11129196220191398,Repo,1,R_163847389,1,163847389,,True
R_690359264,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_690359264,1,690359264,,True
R_234890761,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_234890761,1,234890761,,True
R_5383731,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,4.621459851212795e-05,0.00030707815138952864,4.621459851212795e-05,0.11116713634734186,Repo,1,R_5383731,1,5383731,,True
R_583136009,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_583136009,1,583136009,,True
R_84424258,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_84424258,1,84424258,,True
R_428231308,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_428231308,1,428231308,,True
R_687977547,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_687977547,1,687977547,,True
R_146327667,0.0009212344541685859,0.2901948288419519,0.0010422154466934721,0.023253034595941052,6.470082283511648e-05,0.0010747735298633502,6.470082283511648e-05,0.13237059187090436,Repo,1,R_146327667,6,146327667,,True
R_162869571,0.00030707815138952864,0.2732884640116603,0.00021438311106621345,0.011682455346475558,3.964604529798e-05,0.00030707815138952864,3.964604529798e-05,0.11628748405908161,Repo,1,R_162869571,2,162869571,,True
